id	description	en	local
def_generator_medium_node_2_label		Output	Resultado
def_generator_medium_node_2_desc		Data output giving the electrical generation of the generator.	A saída de dados dando a geração eléctrica do gerador.
def_generator_small_name		Small Generator	Generator pequena
def_generator_small_desc			#VALOR!
def_generator_small_s_desc		A small generator unit for converting mechanical power to electricity.	Uma unidade geradora de pequeno para a conversão de energia mecânica em eletricidade.
def_generator_small_node_0_label		Power	Poder
def_generator_small_node_0_desc		The torque power input to convert to electric energy.	A entrada de energia de torque para converter em energia elétrica.
def_generator_small_node_1_label		Electric	Elétrico
def_generator_small_node_1_desc		The electric connection to output electric energy.	A conexão elétrica para produção de energia elétrica.
def_generator_small_node_2_label		Output	Resultado
def_generator_small_node_2_desc		Data output giving the electrical generation of the generator.	A saída de dados dando a geração eléctrica do gerador.
def_giga_prop_name		Titan Propeller	Titan Propeller
def_giga_prop_desc		Power received from an engine affects the forward and backward force generated. This propeller will only operate underwater.	Potência recebida de um motor afeta a força para a frente e para trás gerado. Esta hélice única irá operar debaixo de água.
def_giga_prop_s_desc		A titan class propeller for ships.	Uma hélice classe titan para navios.
def_giga_prop_node_0_label		Power	Poder
def_giga_prop_node_0_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_giga_prop_small_name		Giant Propeller	Hélice gigante
def_giga_prop_small_desc		Power received from an engine affects the forward and backward force generated. This propeller will only operate underwater.	Potência recebida de um motor afeta a força para a frente e para trás gerado. Esta hélice única irá operar debaixo de água.
def_giga_prop_small_s_desc		A giant propeller for ships.	Uma hélice gigante para navios.
def_giga_prop_small_node_0_label		Power	Poder
def_giga_prop_small_node_0_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_gps_sensor_name		GPS Sensor	GPS Sensor
def_gps_sensor_desc		The coordinates represent an offset from the centre of the world, measured in metres. You can check the world coordinates of any location by looking at your map.	As coordenadas representam um deslocamento do centro do mundo, medida em metros. Você pode verificar as coordenadas mundiais de qualquer local por olhar para o seu mapa.
def_gps_sensor_s_desc		Outputs its x and y world coordinates according to its location on the map.	Saídas seus x e mundiais coordenadas Y de acordo com a sua localização no mapa.
def_gps_sensor_node_0_label		X Coordinate	Coordenada X
def_gps_sensor_node_0_desc		The x coordinate of this component on the world map.	Os coordenada x este componente no mapa do mundo.
def_gps_sensor_node_1_label		Y Coordinate	Y Coordinate
def_gps_sensor_node_1_desc		The y coordinate of this component on the world map.	A coordenada y deste componente no mapa do mundo.
def_gps_sensor_node_2_label		Electric	Elétrico
def_gps_sensor_node_2_desc		Electrical power connection.	conexão de energia elétrica.
def_gyro_name		Gyro	Gyro
def_gyro_desc		It outputs stabilised values that can be sent to rotors and engines to make them much easier to control. An on/off input allows you to activate and deactivate the internal auto-hover circuit. When auto-hover is enabled, the gyroscope will attempt to keep your helicopter steady.	Ele produz valores estabilizados que podem ser enviados para rotores e motores para torná-los muito mais fácil de controlar. Uma on / off entrada permite activar e desactivar o circuito de auto-foco interno. Quando auto-foco é habilitado, o giroscópio tentará manter seu helicóptero estável.
def_gyro_s_desc		The gyroscope takes 4 standard value signals representing the desired yaw, pitch, roll and vertical motion of a helicopter.	O giroscópio leva 4 sinais de valor padrão que representam o mecanismo de orientação desejada, inclinação, rotação e movimento vertical de um helicóptero.
def_gyro_node_0_label		Roll	Lista
def_gyro_node_0_desc		Accepts a standard value between -1 and 1 representing the desired roll speed.	Aceita um valor padrão entre -1 e 1 representa a velocidade de rolo desejado.
def_gyro_node_1_label		Stabilised Roll	rolo estabilizado
def_gyro_node_1_desc		Outputs a standard value between -1 and 1 representing a stabilised roll speed.	Saídas um valor padrão entre -1 e 1 representando uma velocidade de rolo estabilizado.
def_gyro_node_2_label		Pitch	breu
def_gyro_node_2_desc		Accepts a standard value between -1 and 1 representing the desired pitch speed.	Aceita um valor padrão entre -1 e 1 representa a velocidade de arremesso desejada.
def_gyro_node_3_label		Stabilised Pitch	estabilizada passo
def_gyro_node_3_desc		Outputs a standard value between -1 and 1 representing a stabilised pitch speed.	Saídas um valor padrão entre -1 e 1 representando uma velocidade de arremesso estabilizado.
def_gyro_node_4_label		Yaw	Guinada
def_gyro_node_4_desc		Accepts a standard value between -1 and 1 representing the desired yaw speed.	Aceita um valor padrão entre -1 e 1 representa a velocidade de guinada desejado.
def_gyro_node_5_label		Stabilised Yaw	estabilizada Yaw
def_gyro_node_5_desc		Outputs a standard value between -1 and 1 representing a stabilised yaw speed.	Saídas um valor padrão entre -1 e 1 representando uma velocidade estabilizada de guinada.
def_gyro_node_6_label		Up/Down	Cima baixo
def_gyro_node_6_desc		Accepts a standard value between -1 and 1 representing the desired vertical speed.	Aceita um valor padrão entre -1 e 1 representa a velocidade vertical desejada.
def_gyro_node_7_label		Stabilised Up/Down	Estabilizada Up / Down
def_gyro_node_7_desc		Outputs a standard value between 0 and 1 representing a stabilised upward thrust.	Saídas um valor padrão entre 0 e 1 que representa um impulso para cima estabilizado.
def_gyro_node_8_label		Auto-hover	Auto-foco
def_gyro_node_8_desc		Enables the gyroscope's auto-hover circuit when receiving an on signal.	Permite circuito de auto-foco do giroscópio quando recebe uma no sinal.
def_gyro_node_9_label		Electric	Elétrico
def_gyro_node_9_desc		Electrical power connection.	conexão de energia elétrica.
def_handle_name		Handle	Lidar com
def_handle_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] while attached will detach you depending on which you pressed to attach. The handle can be used to drag vehicles around. If a vehicle is too heavy to move, you will be detached automatically when you move outside the handle's interaction range.	Pressionar [$ [action_interact_left]] / [$ [action_interact_right]] enquanto estiver ligado irá separar você, dependendo do que você pressionou para anexar. A alça pode ser usado para veículos arrastar ao redor. Se um veículo é pesado demais para se mover, você vai ser retirado automaticamente quando você se move fora da faixa de interação do punho.
def_handle_s_desc		A handle that you can attach to by pressing [$[action_interact_left]] or [$[action_interact_right]].	A alça que você pode anexar a pressionando [$ [action_interact_left]] ou [$ [action_interact_right]].
def_hatch_name		Hatch	Escotilha
def_hatch_desc			#VALOR!
def_hatch_s_desc		Sliding hatch that can be opened and closed using an on/off signal.	Deslizante escotilha que pode ser aberto e fechado utilizando um sinal on / off.
def_hatch_node_0_label		Hatch Open/Close	Escotilha abrir / fechar
def_hatch_node_0_desc		Opens the hatch when receiving an on signal, and closes it when receiving an off signal.	Abre a escotilha quando receber um sinal em, e fecha-lo quando receber um sinal de desligar.
def_hatch_node_1_label		Electric	Elétrico
def_hatch_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_heater_name		Heater	Aquecedor
def_heater_desc		When enabled, the heater will warm any players within a 10m radius, allowing them to survive cold Arctic weather conditions.	Quando ativado, o aquecedor vai aquecer todos os jogadores em um raio de 10m, o que lhes permite sobreviver em condições frias clima ártico.
def_heater_s_desc		A small heater that will provide warmth to nearby players.	Um pequeno aquecedor que irá fornecer calor para os jogadores próximos.
def_heater_node_0_label		Heating Element	Elemento de aquecimento
def_heater_node_0_desc		Enables the heating element when receiving an on signal.	Permite que o elemento de aquecimento, quando receber um sinal em.
def_heater_node_1_label		Electric	Elétrico
def_heater_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_heavy_rotor_name		Heavy Rotor	pesado Rotor
def_heavy_rotor_desc		Three standard number inputs control the rotor's swashplate, allowing you to affect the pitch, roll, and collective rotor angle. Power received from an engine affects the amount of up and down force that the rotor will generate.	Três entradas numéricas padrão controlar swashplate do rotor, o que lhe permite afetar a inclinação, rotação e ângulo do rotor coletiva. Potência recebida de um motor afeta a quantidade de cima e para baixo força que o rotor irá gerar.
def_heavy_rotor_s_desc		A heavy duty rotor with thrust vectoring.	Um rotor de serviço pesado com vectorização do impulso.
def_heavy_rotor_node_0_label		Roll	Lista
def_heavy_rotor_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	valor padrão entre -1 e 1 representando a quantidade do rolo desejado.
def_heavy_rotor_node_1_label		Pitch	breu
def_heavy_rotor_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_heavy_rotor_node_2_label		Power	Poder
def_heavy_rotor_node_2_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_heavy_rotor_node_3_label		Collective	coletivo
def_heavy_rotor_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_heavy_rotor_large_name		Heavy Large Rotor	Rotor Grande pesado
def_heavy_rotor_large_desc		Three standard number inputs control the rotor's swashplate, allowing you to affect the pitch, roll, and collective rotor angle. Power received from an engine affects the amount of up and down force that the rotor will generate.	Três entradas numéricas padrão controlar swashplate do rotor, o que lhe permite afetar a inclinação, rotação e ângulo do rotor coletiva. Potência recebida de um motor afeta a quantidade de cima e para baixo força que o rotor irá gerar.
def_heavy_rotor_large_s_desc		A large heavy duty rotor with thrust vectoring.	Um rotor pesados ​​grande com vectorização do impulso.
def_heavy_rotor_large_node_0_label		Roll	Lista
def_heavy_rotor_large_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	valor padrão entre -1 e 1 representando a quantidade do rolo desejado.
def_heavy_rotor_large_node_1_label		Pitch	breu
def_heavy_rotor_large_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_heavy_rotor_large_node_2_label		Power	Poder
def_heavy_rotor_large_node_2_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_heavy_rotor_large_node_3_label		Collective	coletivo
def_heavy_rotor_large_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_huge_rotor_name		Huge Rotor	enorme Rotor
def_huge_rotor_desc		Two standard number inputs control the rotor's swashplate, allowing you to affect the its pitch and roll. Power received from an engine affects the amount of up and down force that the rotor will generate. The output force of this rotor is decreased when underwater.	Duas entradas numéricas padrão controlar swashplate do rotor, o que lhe permite afetar o seu pitch and roll. Potência recebida de um motor afeta a quantidade de cima e para baixo força que o rotor irá gerar. A força deste rotor saída é diminuída quando subaquático.
def_huge_rotor_s_desc		A large helicopter rotor with controllable pitch and roll.	Um rotor de helicóptero grande com passo controlável and roll.
def_huge_rotor_node_0_label		Roll	Lista
def_huge_rotor_node_0_desc		Standard value between -1 and 1 representing the desired roll amount.	valor padrão entre -1 e 1 representando a quantidade do rolo desejado.
def_huge_rotor_node_1_label		Pitch	breu
def_huge_rotor_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_huge_rotor_node_2_label		Power	Poder
def_huge_rotor_node_2_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_huge_rotor_node_3_label		Collective	coletivo
def_huge_rotor_node_3_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_humidity_sensor_name		Humidity Sensor	Sensor de umidade
def_humidity_sensor_desc		The reading can be read from the sensor's number output and is measured from 0 (no fog) to 1 (max fog).	A leitura pode ser lido a partir da saída número do sensor e é medido de 0 (sem nevoeiro) a 1 (névoa max).
def_humidity_sensor_s_desc		A humidity sensor for measuring the current fog and visibility meteorological conditions.	Um sensor de humidade para medir as nevoeiro e visibilidade condições meteorológicas actuais.
def_humidity_sensor_node_0_label		Humidity Factor	Fator de umidade
def_humidity_sensor_node_0_desc		The level of humidity in the air, relating to the fog visibility.	O nível de humidade no ar, relativa à visibilidade nevoeiro.
def_indicator_name		Indicator Light	Luz indicadora
def_indicator_desc			Indicador de luz*
def_indicator_s_desc		A simple light that can be used as an indicator in logic systems.	Uma luz simples que pode ser usado como um indicador em sistemas lógicos.
def_indicator_node_0_label		Indicator Light	Luz indicadora
def_indicator_node_0_desc		Switches the light on when receiving an on signal.	Muda a luz acesa quando recebe uma no sinal.
def_indicator_node_1_label		Electric	Elétrico
def_indicator_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_indicator_rgb_name		Indicator Light (RGB)	Indicator Light (RGB)
def_indicator_rgb_desc		Three channels of the composite input can be used to set the red, green and blue components of the indicator's color using numbers between 0 and 1. The light can also operate in HSV mode, where the 3 inputs correspond to the hue, saturation and value (brightness) of the color between 0 and 1. The color mode and input channels can be customised by selecting this component with the select tool.	Três canais de entrada compósito pode ser usado para definir os componentes vermelhos, verdes e azuis de números de cor utilizando o indicador de entre 0 e 1. A luz pode também operar no modo de HSV, em que os 3 entradas correspondem à tonalidade, saturação e valor (brilho) da cor entre 0 e 1. o modo de cor e os canais de entrada pode ser personalizado, seleccionando deste componente com a ferramenta de selecção.
def_indicator_rgb_s_desc		An advanced indicator that can be controlled using a microcontroller.	Um indicador avançado que pode ser controlado usando um microcontrolador.
def_indicator_rgb_node_0_label		Color Data	dados cor
def_indicator_rgb_node_0_desc		Composite link containing the indicator's color data.	ligação Composite contendo dados de cor do indicador.
def_indicator_rgb_node_1_label		Electric	Elétrico
def_indicator_rgb_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_instrument_display_name		Instrument Panel	Painel de instrumentos
def_instrument_display_desc		The 4 instruments can be selected in the properties window. Each type of instrument has options for choosing the composite channels that they read from or write to. Composite signals are bridged from the input node to the output node to enable displays to be chained together. Instruments marked as '(On/Off)' require multiple on/off signals to control each of their segments individually.	Os 4 instrumentos pode ser seleccionado na janela de propriedades. Cada tipo de instrumento tem opções para escolher os canais de compostos que ler ou escrever para. sinais compostos são ligados em ponte a partir do nó de entrada para o nó de saída para permitir que exibe a serem encadeados. Instrumentos marcados como '(On / Off)' exigem múltiplos on / off sinais para controlar cada um dos seus segmentos individualmente.
def_instrument_display_s_desc		A customisable panel that can have up to 4 different instruments, controlled by a composite signal from a microcontroller.	Um painel personalizado que pode ter até 4 instrumentos diferentes, controlado por um sinal compósito a partir de um microcontrolador.
def_instrument_display_node_0_label		Signal Out	sinal fora
def_instrument_display_node_0_desc		Output signal containing data set by buttons on the display.	sinal de saída contendo definidos por botões na tela de dados.
def_instrument_display_node_1_label		Signal In	sinal Em
def_instrument_display_node_1_desc		Input signal containing data to be displayed.	O sinal de entrada contendo dados a serem exibidos.
def_instrument_display_node_2_label		Electric	Elétrico
def_instrument_display_node_2_desc		Electrical power connection.	conexão de energia elétrica.
def_instrument_display_node_3_label		Backlight	Backlight
def_instrument_display_node_3_desc		Enables the backlight when receiving an on signal.	Permite que a luz de fundo ao receber uma em sinal.
def_inventory_outfit_name		Outfit Inventory (Empty)	Inventory Outfit (vazio)
def_inventory_outfit_desc		If you're wearing a specialist outfit, pressing [$[action_interact_left]]/[$[action_interact_right]] will store it in this unit.	Se você está vestindo uma roupa de especialista, pressionando [$ [action_interact_left]] / [$ [action_interact_right]] irá armazená-lo nesta unidade.
def_inventory_outfit_s_desc		An empty outfit storage unit.	Uma unidade de armazenagem vazia equipamento.
def_inventory_outfit_arctic_name		Outfit Inventory (Arctic)	Inventory Outfit (Ártico)
def_inventory_outfit_arctic_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will increase your temperature enough to survive in colder weather conditions. Its thermal effectiveness is reduced when wet.	Pressionar [$ [action_interact_left]] / [$ [action_interact_right]] irá equipar / armazenar o equipamento. Quando equipado, vai aumentar o seu o suficiente temperatura para sobreviver em condições climáticas mais frias. A sua eficácia térmica é reduzida quando molhado.
def_inventory_outfit_arctic_s_desc		An outfit inventory unit containing specialist thermal clothing for surviving Arctic temperatures.	Uma unidade de inventário roupa contendo roupas térmicas especialista para sobreviver as temperaturas do Ártico.
def_inventory_outfit_diving_name		Outfit Inventory (Diving)	Inventory Outfit (Mergulho)
def_inventory_outfit_diving_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will allow deep sea diving to a depth of 250m, and provides air for 10 minutes. The air tank can be refilled by storing the equipment in an outfit inventory unit.	Pressionar [$ [action_interact_left]] / [$ [action_interact_right]] irá equipar / armazenar o equipamento. Quando equipado, que irá permitir que mergulho em alto mar a uma profundidade de 250 m, e fornece ar durante 10 minutos. O tanque de ar pode ser reabastecido por armazenar o equipamento em uma unidade de inventário equipamento.
def_inventory_outfit_diving_s_desc		An outfit inventory unit containing specialist diving equipment.	Uma unidade inventário roupa contendo equipamento de mergulho especialista.
def_inventory_outfit_firefighter_name		Outfit Inventory (Firefighter)	Inventory Outfit (bombeiro)
def_inventory_outfit_firefighter_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store outfit. When equipped, it will absorb 95% of damage dealt by fires.	Pressionar [$ [action_interact_left]] / [$ [action_interact_right]] equipamento irá equipar / loja. Quando equipado, ele vai absorver 95% do dano causado pelos incêndios.
def_inventory_outfit_firefighter_s_desc		An outfit inventory unit containing specialist firefighting gear.	Uma unidade de inventário roupa contendo engrenagem de combate a incêndios especialista.
def_inventory_outfit_parachute_name		Outfit Inventory (Parachute)	Inventory Outfit (pára-quedas)
def_inventory_outfit_parachute_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, pressing [$[action_use_seat]] when falling will deploy the parachute. It will then open when you are falling fast enough. Pressing [$[action_use_seat]] again will close it. This parachute is single-use once equipped but can be refolded by storing it in an outfit inventory unit.	Pressionar [$ [action_interact_left]] / [$ [action_interact_right]] irá equipar / armazenar o equipamento. Quando equipado, pressionando [$ [action_use_seat]] ao cair vai implantar o pára-quedas. Ela irá então abrir quando você está caindo rápido o suficiente. Pressionar [$ [action_use_seat]] novamente irá fechá-la. Este pára-quedas é de uso único, uma vez equipados, mas pode ser redobrado, armazenando-o em uma unidade de inventário roupa.
def_inventory_outfit_parachute_s_desc		An outfit inventory unit containing a single-use parachute.	Uma unidade de inventário roupa contendo um pára-quedas de uso único.
def_inventory_outfit_scuba_name		Outfit Inventory (Scuba)	Inventory Outfit (Mergulho)
def_inventory_outfit_scuba_desc		Pressing [$[action_interact_left]]/[$[action_interact_right]] will equip/store the outfit. When equipped, it will allow diving to a depth of 50m, and provides air for 2 minutes. The air tank can be refilled by storing the gear in an outfit inventory unit.	Pressionar [$ [action_interact_left]] / [$ [action_interact_right]] irá equipar / armazenar o equipamento. Quando equipado, que irá permitir que o mergulho a uma profundidade de 50m, e fornece ar durante 2 minutos. O tanque de ar pode ser recarregado por armazenar o equipamento em uma unidade de inventário roupa.
def_inventory_outfit_scuba_s_desc		An outfit inventory unit containing specialist scuba gear.	Uma unidade de inventário roupa contendo equipamento de mergulho especialista.
def_jet_engine_combustion_chamber_name		Jet Combustion Chamber	Jet Combustion Chamber
def_jet_engine_combustion_chamber_desc		This is part of a set of modular jet engine components. Combustion will begin when the internal pressure is high enough.	Isso faz parte de um conjunto de componentes modulares de motores a jato. Combustão começará quando a pressão interna é alta o suficiente.
def_jet_engine_combustion_chamber_s_desc		A combustion chamber that burns jet fuel to sustain a jet engine.	Uma câmara de combustão que queima combustível de jacto para sustentar um motor a jacto.
def_jet_engine_combustion_chamber_node_0_label		Fuel	Combustível
def_jet_engine_combustion_chamber_node_0_desc		Jet fuel input required for combustion.	entrada de combustível Jet necessário para a combustão.
def_jet_engine_combustion_chamber_node_1_label		Throttle	regulador de pressão
def_jet_engine_combustion_chamber_node_1_desc		Throttle control between 0 and 1.	controlo regulador de pressão entre 0 e 1.
def_jet_engine_combustion_chamber_node_2_label		Air Pressure	Pressão do ar
def_jet_engine_combustion_chamber_node_2_desc		The pressure of air transferred by the chamber.	A pressão de ar transferido pela câmara.
def_jet_engine_combustion_chamber_node_3_label		Temperature	Temperatura
def_jet_engine_combustion_chamber_node_3_desc		The temperature of air transferred by the chamber.	A temperatura do ar transferido pela câmara.
def_jet_engine_combustion_chamber_node_4_label		RPS	RPS
def_jet_engine_combustion_chamber_node_4_desc		The rotations per second generated by the chamber.	As rotações por segundo gerado pela câmara.
def_jet_engine_compressor_name		Jet Compressor	Jet Compressor
def_jet_engine_compressor_desc		This is part of a set of modular jet engine components. Electrical power is required to begin compression.	Isso faz parte de um conjunto de componentes modulares de motores a jato. A energia elétrica é necessária para começar a compressão.
def_jet_engine_compressor_s_desc		A compressor that compresses air within a jet engine.	Um compressor que comprime o ar dentro de um motor a jato.
def_jet_engine_compressor_node_0_label		Compressor	Compressor
def_jet_engine_compressor_node_0_desc		Enables the compressor.	Permite o compressor.
def_jet_engine_compressor_node_1_label		Electric	Elétrico
def_jet_engine_compressor_node_1_desc		Electrical input for starting the compressor.	de entrada eléctrico para ligar o compressor.
def_jet_engine_compressor_node_2_label		Air Pressure	Pressão do ar
def_jet_engine_compressor_node_2_desc		The pressure of air transferred by the compressor.	A pressão de ar transferido pelo compressor.
def_jet_engine_compressor_node_3_label		Temperature	Temperatura
def_jet_engine_compressor_node_3_desc		The temperature of air transferred by the compressor.	A temperatura do ar transferido pelo compressor.
def_jet_engine_compressor_node_4_label		RPS	RPS
def_jet_engine_compressor_node_4_desc		The rotations per second generated by the compressor.	As rotações por segundo gerado pelo compressor.
def_jet_engine_duct_angle_name		Jet Duct Angle	Jet duto Angle
def_jet_engine_duct_angle_desc			#VALOR!
def_jet_engine_duct_angle_s_desc		An angled section of ducting for use in jet engines.	Uma seção em ângulo de canalização para uso em motores a jato.
def_jet_engine_duct_cross_name		Jet Duct Cross	Jet duto Cruz
def_jet_engine_duct_cross_desc			#VALOR!
def_jet_engine_duct_cross_s_desc		An cross section of ducting for use in jet engines.	Uma seção transversal de canalização para uso em motores a jato.
def_jet_engine_duct_diagonal_name		Jet Duct Diagonal	Jet duto Diagonal
def_jet_engine_duct_diagonal_desc			#VALOR!
def_jet_engine_duct_diagonal_s_desc		A diagonal section of ducting for use in jet engines.	A secção diagonal de canalização para uso em motores a jato.
def_jet_engine_duct_straight_name		Jet Duct Straight	Jet duto reto
def_jet_engine_duct_straight_desc			#VALOR!
def_jet_engine_duct_straight_s_desc		An straight section of ducting for use in jet engines.	Uma seção reta de canalização para uso em motores a jato.
def_jet_engine_duct_t_name		Jet Duct T	Jet duto T
def_jet_engine_duct_t_desc			#VALOR!
def_jet_engine_duct_t_s_desc		A T-shaped section of ducting for use in jet engines.	seção de canalização para uso em motores a jato Uma forma de T.
def_jet_engine_exhaust_afterburner_name		Jet Exhaust Afterburner	Jet escape Afterburner
def_jet_engine_exhaust_afterburner_desc		This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine. Additional thrust is produced when the afterburner is active, at the cost of increased fuel consumption.	Isso faz parte de um conjunto de componentes modulares de motores a jato. Impulso vai ser produzida na parte de trás da proporcional de escape para o RPS interno do motor. impulso adicional é produzido quando a pós-combustão é activo, à custa de um maior consumo de combustível.
def_jet_engine_exhaust_afterburner_s_desc		A jet engine exhaust that can burn additional fuel for increased output.	A exaustão do motor de jato que pode queimar combustível adicional para o aumento da produção.
def_jet_engine_exhaust_afterburner_node_0_label		Fuel	Combustível
def_jet_engine_exhaust_afterburner_node_0_desc		Jet fuel input to the afterburner.	entrada de combustível de aviação para o pós-combustor.
def_jet_engine_exhaust_afterburner_node_1_label		Air Pressure	Pressão do ar
def_jet_engine_exhaust_afterburner_node_1_desc		The pressure of air into the exhaust.	A pressão de ar para os gases de escape.
def_jet_engine_exhaust_afterburner_node_2_label		Temperature	Temperatura
def_jet_engine_exhaust_afterburner_node_2_desc		The temperature of air into the exhaust.	A temperatura do ar para os gases de escape.
def_jet_engine_exhaust_afterburner_node_3_label		Thrust Spoiler	Spoiler Thrust
def_jet_engine_exhaust_afterburner_node_3_desc		The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust).	O spoiler fluxo de ar para reduzir a pressão eficaz de gases de escape. Toma o valor 0 (nenhuma redução na pressão) para 1 (redução total no impulso).
def_jet_engine_exhaust_afterburner_node_4_label		Afterburner	Afterburner
def_jet_engine_exhaust_afterburner_node_4_desc		Enable the afterburner.	Ativar o pós-combustor.
def_jet_engine_exhaust_basic_name		Jet Exhaust Basic	Jet escape Básico
def_jet_engine_exhaust_basic_desc		This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine.	Isso faz parte de um conjunto de componentes modulares de motores a jato. Impulso vai ser produzida na parte de trás da proporcional de escape para o RPS interno do motor.
def_jet_engine_exhaust_basic_s_desc		A jet engine exhaust that will produce thrust.	A exaustão do motor de jato que irá produzir empuxo.
def_jet_engine_exhaust_basic_node_0_label		Air Pressure	Pressão do ar
def_jet_engine_exhaust_basic_node_0_desc		The pressure of air into the exhaust.	A pressão de ar para os gases de escape.
def_jet_engine_exhaust_basic_node_1_label		Temperature	Temperatura
def_jet_engine_exhaust_basic_node_1_desc		The temperature of air into the exhaust.	A temperatura do ar para os gases de escape.
def_jet_engine_exhaust_basic_node_2_label		Thrust Spoiler	Spoiler Thrust
def_jet_engine_exhaust_basic_node_2_desc		The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust).	O spoiler fluxo de ar para reduzir a pressão eficaz de gases de escape. Toma o valor 0 (nenhuma redução na pressão) para 1 (redução total no impulso).
def_jet_engine_exhaust_rotating_name		Jet Exhaust Rotating	Jet escape Rotating
def_jet_engine_exhaust_rotating_desc		This is part of a set of modular jet engine components. Thrust will be produced at the back of the exhaust proportional to the internal RPS of the engine. The direction of the thrust is controlled using a standard value that sets the target orientation within the pivot's range of motion of -0.5 to 0.5 turns.	Isso faz parte de um conjunto de componentes modulares de motores a jato. Impulso vai ser produzida na parte de trás da proporcional de escape para o RPS interno do motor. A direcção do impulso é controlada usando um valor padrão que define a orientação de alvo dentro do alcance do pivot de movimento de -0,5 a 0,5 voltas.
def_jet_engine_exhaust_rotating_s_desc		A jet engine exhaust that has a built-in mechanical pivot.	Um jacto de escape do motor que tem incorporado um pivô mecânica.
def_jet_engine_exhaust_rotating_node_0_label		Air Pressure	Pressão do ar
def_jet_engine_exhaust_rotating_node_0_desc		The pressure of air into the exhaust.	A pressão de ar para os gases de escape.
def_jet_engine_exhaust_rotating_node_1_label		Temperature	Temperatura
def_jet_engine_exhaust_rotating_node_1_desc		The temperature of air into the exhaust.	A temperatura do ar para os gases de escape.
def_jet_engine_exhaust_rotating_node_2_label		Thrust Spoiler	Spoiler Thrust
def_jet_engine_exhaust_rotating_node_2_desc		The air flow spoiler for reducing effective thrust from the exhaust. Takes value 0 (no reduction in thrust) to 1 (total reduction in thrust).	O spoiler fluxo de ar para reduzir a pressão eficaz de gases de escape. Toma o valor 0 (nenhuma redução na pressão) para 1 (redução total no impulso).
def_jet_engine_exhaust_rotating_node_3_label		Rotation Target	rotação alvo
def_jet_engine_exhaust_rotating_node_3_desc		The standard value setting the orientation within the range of motion.	O valor padrão definindo a orientação dentro da amplitude de movimento.
def_jet_engine_exhaust_rotating_node_4_label		Electric	Elétrico
def_jet_engine_exhaust_rotating_node_4_desc		Electrical input to power the exhaust's pivot.	entrada eléctrica para poder pivô do escape.
def_jet_engine_intake_large_name		Large Jet Intake	Grande ingestão Jet
def_jet_engine_intake_large_desc		The intake has turbo fans that will provide additional thrust. The intake will provide a greater air flow when travelling through the air.	A ingestão tem fãs turbo que irá fornecer impulso adicional. A ingestão irá fornecer um fluxo de ar maior ao viajar através do ar.
def_jet_engine_intake_large_s_desc		A large intake that will suck air into a jet engine.	Uma grande ingestão de que irá sugar o ar em um motor a jato.
def_jet_engine_intake_large_node_0_label		Air Pressure	Pressão do ar
def_jet_engine_intake_large_node_0_desc		The pressure of air transferred by the intake.	A pressão de ar transferido pela ingestão.
def_jet_engine_intake_large_node_1_label		RPS	RPS
def_jet_engine_intake_large_node_1_desc		The rotations per second generated by the intake.	As rotações por segundo gerado pela ingestão.
def_jet_engine_intake_small_name		Small Jet Intake	A ingestão pequena Jet
